序號,縣市,監測日期,測站,"二氧化硫","一氧化碳","臭氧","懸浮微粒","細懸浮微粒","氮氧化物","一氧化氮","二氧化氮","總碳氫化合物","非甲烷碳氫化合物","甲烷","風速","小時風速值","溫度","相對濕度"
106,新竹市,2017/09/16,新竹,3.5,0.35,39.5,36.0,19,16,1.36,14.15,1.99,0.136,1.856,1.54,1.02,29.46,64.37
107,新竹市,2017/09/15,新竹,3.7,0.43,33.5,36.0,18,21,3.06,17.44,2.11,0.199,1.914,1.58,1.23,29.04,66.85
108,新竹市,2017/09/14,新竹,1.8,0.36,37.4,34.0,13,16,1.78,14.29,1.98,0.14,1.837,1.48,1.09,27.79,68.85
109,新竹市,2017/09/13,新竹,1.5,0.25,39.7,35.0,14,10,0.99,9.1,1.92,0.094,1.822,3.25,2.59,27.87,74.58
110,新竹市,2017/09/12,新竹,2.5,0.26,24.2,28.0,14,15,3.46,11.94,1.97,0.159,1.813,2.72,2.03,30.63,65.23
111,新竹市,2017/09/11,新竹,3.0,0.31,14.4,25.0,14,16,3.87,12.53,1.99,0.142,1.844,1.44,1.02,29.97,67.42
112,新竹市,2017/09/10,新竹,1.9,0.31,17.7,28.0,14,14,2.02,11.93,1.97,0.137,1.833,1.38,1.04,29.66,73.54
113,新竹市,2017/09/09,新竹,2.1,0.35,16.5,16.0,9,16,3.36,12.58,1.94,0.125,1.815,1.16,0.81,28.86,78.77
114,新竹市,2017/09/08,新竹,-,0.26,-,23.0,10,-,-,-,1.92,0.103,1.821,1.76,1.39,29.62,76.08
115,新竹市,2017/09/07,新竹,3.2,0.3,31.0,26.0,13,12,1.95,10.54,1.92,0.096,1.823,1.93,1.48,30.0,76.68
116,新竹市,2017/09/06,新竹,2.5,0.45,36.9,38.0,20,13,2.32,10.65,1.96,0.116,1.843,1.85,1.5,29.94,76.57
117,新竹市,2017/09/05,新竹,2.0,0.34,22.7,31.0,13,14,1.89,12.37,1.95,0.115,1.837,1.35,0.88,29.02,78.25
118,新竹市,2017/09/04,新竹,2.0,0.27,33.0,24.0,12,13,1.12,11.46,1.91,0.098,1.81,1.23,0.88,29.21,75.05
119,新竹市,2017/09/03,新竹,2.2,0.24,34.0,14.0,8,12,1.18,10.55,1.88,0.098,1.786,1.63,1.14,28.27,76.44
120,新竹市,2017/09/02,新竹,1.3,0.28,35.1,10.0,4,9,1.28,8.01,1.82,0.059,1.76,2.63,2.15,28.53,73.2
121,新竹市,2017/09/01,新竹,2.0,0.28,40.9,28.0,9,10,0.81,8.7,1.83,0.07,1.76,4.63,3.69,29.69,68.3
122,新竹市,2017/08/31,新竹,1.9,0.3,26.8,24.0,7,11,1.31,9.89,1.8,0.074,1.726,3.7,2.92,30.97,63.48
123,新竹市,2017/08/30,新竹,1.9,0.18,17.7,14.0,7,10,2.27,8.17,1.8,0.081,1.714,3.32,2.73,31.5,58.75
124,新竹市,2017/08/29,新竹,2.0,0.18,17.7,23.0,7,11,1.64,9.34,1.83,0.102,1.732,3.1,2.39,31.45,58.72
125,新竹市,2017/08/28,新竹,3.0,0.27,21.7,21.0,6,13,1.48,12.0,1.89,0.132,1.758,1.94,1.39,30.43,66.4
126,新竹市,2017/08/27,新竹,1.6,0.29,24.8,30.0,10,13,1.11,11.57,1.92,0.129,1.794,1.54,1.19,29.64,74.13
127,新竹市,2017/08/26,新竹,3.3,0.35,40.9,36.0,12,14,2.14,11.93,1.93,0.13,1.798,1.47,1.04,30.08,73.8
128,新竹市,2017/08/25,新竹,2.0,0.3,26.4,24.0,6,12,1.57,10.58,1.88,0.132,1.746,1.43,1.06,29.21,77.92
129,新竹市,2017/08/24,新竹,2.8,0.33,21.8,27.0,6,17,3.21,13.68,1.96,0.152,1.807,1.34,0.86,29.1,78.56
130,新竹市,2017/08/23,新竹,2.4,0.36,21.9,24.0,8,17,1.92,15.5,1.94,0.141,1.798,1.35,0.88,29.03,78.56
131,新竹市,2017/08/21,新竹,1.6,0.2,18.1,30.0,9,13,2.16,10.6,1.9,0.114,1.785,3.73,2.91,31.45,64.07
132,新竹市,2017/08/20,新竹,2.6,0.2,26.6,20.0,10,10,1.38,8.45,1.8,0.067,1.731,1.48,1.1,30.36,67.85
